安心|/ān xīn/|Peace of mind
安排|/ān pái/|arrange
安装|/ān zhuāng/|Install
按|/àn/|according to
按照|/ànzhào/|according to
把|/bǎ/|Bundle
把握|/bǎwò/|grasp
白|/bái/|white
白菜|/báicài/|Chinese cabbage
班级|/bānjí/|class
搬|/bān/|move
搬家|/bānjiā/|move place
板|/bǎn/|plate
办理|/bànlǐ/|Processing
保|/bǎo/|Save
保安|/bǎo’ān/|security guard
保持|/bǎochí/|Keep
保存|/bǎocún/|save
保护|/bǎohù/|Protect
保留|/bǎoliú/|reserve
保险|/bǎoxiǎn/|Insurance
保证|/bǎozhèng/|ensure
报|/bào/|Report
报到|/bàodào/|check in
报道|/bàodào/|Report
报告|/bàogào/|Report
背|/bēi/|back
北部|/běibù/|North
背|/bèi/|back
背后|/bèihòu/|behind
被|/bèi/|quilt
被子|/bèizi/|Quilt
本来|/běnlái/|originally
本领|/běnlǐng/|ability
本事|/běnshi/|ability
比较|/bǐjiào/|Compare
比例|/bǐlì/|Proportion
比赛|/bǐsài/|Contest
必然|/bìrán/|inevitable
必要|/bìyào/|necessary
变化|/biànhuà/|change
变为|/biànwéi/|Become
标题|/biāotí/|title
标准|/biāozhǔn/|standard
表达|/biǎodá/|Express
表格|/biǎogé/|sheet
表面|/biǎomiàn/|surface
表明|/biǎomíng/|show
表现|/biǎoxiàn/|Performance
表演|/biǎoyǎn/|Performance
并|/bìng/|and
并且|/bìngqiě/|and
播出|/bōchū/|Broadcast
播放|/bōfàng/|Play
不必|/búbì/|No need
不断|/búduàn/|Continuous
不论|/búlùn/|whether
补|/bǔ/|repair
补充|/bǔchōng/|Replenish
不安|/bù’ān/|disturbed
不得不|/bùdébù/|have to
不光|/bùguāng/|not only
不仅|/bùjǐn/|not only
布|/bù/|cloth
步|/bù/|step
部|/bù/|department
部门|/bùmén/|department
部长|/bùzhǎng/|minister
才能|/cáinéng/|Talent
采取|/cǎiqǔ/|take
采用|/cǎiyòng/|use
彩色|/cǎisè/|color
曾经|/céngjīng/|once
产生|/chǎnshēng/|produce
长城|/Chángchéng/|Great Wall
长处|/chángchù/|Strengths
长期|/chángqī/|long
厂|/chǎng/|factory
场合|/chǎnghé/|occasion
场所|/chǎngsuǒ/|place
超级|/chāojí/|super
朝|/cháo/|towards
吵|/chǎo/|Quarrel
吵架|/chǎojià/|quarrel
衬衫|/chènshān/|shirt
补衣|/chènyī/|Mending clothes
称为|/chēngwéi/|Called
成功|/chénggōng/|success
成果|/chéngguǒ/|Results
成就|/chéngjiù/|Achievement
成立|/chénglì/|Established
