安心	/ān xīn/	Yên tâm
安排	/ān pái/	Sắp xếp, bố trí
安装	/ān zhuāng/	Lắp đặt, cài đặt
按	/àn/	Ấn, bấm, nhấn
按照	/ànzhào/	Theo, dựa theo
把	/bǎ/	Đem, lấy,Cái (dùng cho đồ vật có tay cầm)
把握	/bǎwò/	Nắm chắc, nắm bắt
白	/bái/	Uổng công, vô ích
白菜	/báicài/	Cải trắng
班级	/bānjí/	Lớp học
搬	/bān/	Chuyển, dời
搬家	/bānjiā/	Chuyển nhà
板	/bǎn/	Tấm gỗ, miếng ván
办理	/bànlǐ/	Xử lý, làm thủ tục
保	/bǎo/	Bảo vệ, giữ gìn
保安	/bǎo’ān/	Bảo vệ (người)
保持	/bǎochí/	Giữ gìn, duy trì
保存	/bǎocún/	Bảo tồn, lưu giữ
保护	/bǎohù/	Bảo vệ
保留	/bǎoliú/	Giữ lại
保险	/bǎoxiǎn/	Bảo hiểm
保证	/bǎozhèng/	Cam đoan, đảm bảo
报	/bào/	Báo, giấy báo
报到	/bàodào/	Báo danh có mặt
报道	/bàodào/	Đưa tin
报告	/bàogào/	Báo cáo
背	/bēi/	Mang, đeo (trên lưng)
北部	/běibù/	Khu vực phía bắc
背	/bèi/	Lưng
背后	/bèihòu/	Phía sau
被	/bèi/	Bị (dùng trong câu bị động)
被子	/bèizi/	Chăn
本来	/běnlái/	Vốn dĩ, ban đầu
本领	/běnlǐng/	Bản lĩnh, khả năng
本事	/běnshi/	Tài năng, năng lực
比较	/bǐjiào/	Khá, tương đối
比例	/bǐlì/	Tỷ lệ
比赛	/bǐsài/	Thi đấu, cuộc thi
必然	/bìrán/	Chắc chắn, tất nhiên
必要	/bìyào/	Cần thiết
变化	/biànhuà/	Thay đổi, biến đổi
变为	/biànwéi/	Trở thành
标题	/biāotí/	Tiêu đề
标准	/biāozhǔn/	Tiêu chuẩn
表达	/biǎodá/	Biểu đạt
表格	/biǎogé/	Bảng biểu, mẫu đơn
表面	/biǎomiàn/	Bề mặt
表明	/biǎomíng/	Thể hiện, bày tỏ
表现	/biǎoxiàn/	Biểu hiện
表演	/biǎoyǎn/	Biểu diễn
并	/bìng/	Và, hơn nữa, mà còn|Cùng, tất cả đều
并且	/bìngqiě/	Đồng thời, hơn nữa
播出	/bōchū/	Phát sóng
播放	/bōfàng/	Phát (video, nhạc)
不必	/búbì/	Không cần thiết
不断	/búduàn/	Liên tục
不论	/búlùn/	Bất kể
补	/bǔ/	Bổ sung
补充	/bǔchōng/	Bổ sung
不安	/bù’ān/	Bất an
不得不	/bùdébù/	Đành phải
不光	/bùguāng/	Không chỉ
不仅	/bùjǐn/	Không những
布	/bù/	Vải
步	/bù/	Bước
部	/bù/	Bộ phận
部门	/bùmén/	Phòng ban
部长	/bùzhǎng/	Bộ trưởng
才能	/cáinéng/	Tài năng
采取	/cǎiqǔ/	Áp dụng, thực hiện
采用	/cǎiyòng/	Sử dụng, chọn dùng
彩色	/cǎisè/	Màu sắc
曾经	/céngjīng/	Từng, đã từng
产生	/chǎnshēng/	Sinh ra, tạo ra
长城	/Chángchéng/	Vạn lý trường thành
长处	/chángchù/	Điểm mạnh
长期	/chángqī/	Thời gian dài, dài hạn
厂	/chǎng/	Nhà máy
场合	/chǎnghé/	Hoàn cảnh, dịp
场所	/chǎngsuǒ/	Nơi chốn
超级	/chāojí/	Siêu, cực kỳ
朝	/cháo/	Hướng về
吵	/chǎo/	Cãi nhau
吵架	/chǎojià/	Cãi nhau
衬衫	/chènshān/	Áo sơ mi
补衣	/chènyī/	Sơ mi
称为	/chēngwéi/	Gọi là
成功	/chénggōng/	Thành công
成果	/chéngguǒ/	Thành quả
成就	/chéngjiù/	Thành tựu
成立	/chénglì/	Thành lập
成熟	/chéngshú/	Trưởng thành, chín chắn
成员	/chéngyuán/	Thành viên
成长	/chéngzhǎng/	Trưởng thành, lớn lên
城	/chéng/	Thành phố
城市	/chéngshì/	Thành phố
程度	/chéngdù/	Mức độ
持续	/chíxù/	Tiếp tục, kéo dài
充满	/chōngmǎn/	Tràn đầy
重	/chóng/	Lặp lại, một lần nữa
初	/chū/	Ban đầu, lúc đầu
初一	/chū yī/	Lớp 7|mùng một tết
初步	/chūbù/	Sơ bộ, bước đầu
初级	/chūjí/	Sơ cấp
初中	/chūzhōng/	Trung học cơ sở
除了	/chúle/	Ngoài ra, trừ ra
处理	/chǔlǐ/	Xử lý
传	/chuán/	Truyền, gửi
传播	/chuánbō/	Truyền bá, lan truyền
传来	/chuánlái/	Truyền đến (âm thanh, tin tức...)
传说	/chuánshuō/	Truyền thuyết
创新	/chuàngxīn/	Đổi mới, sáng tạo
创业	/chuàngyè/	Khởi nghiệp
创造	/chuàngzào/	Sáng tạo, tạo ra
创作	/chuàngzuò/	Sáng tác (văn học, nghệ thuật)
从来	/cónglái/	Từ trước đến nay
从前	/cóngqián/	Trước đây, ngày xưa
从事	/cóngshì/	Làm việc; làm
村	/cūn/	Làng, thôn
存	/cún/	Cất, giữ, gửi (tiền)
存在	/cúnzài/	Tồn tại
错误	/cuòwù/	Lỗi, sai sót
达到	/dádào/	Đạt đến, đạt được
打破	/dǎpò/	Phá vỡ
打听	/dǎtīng/	Hỏi thăm
大概	/dàgài/	Khoảng, đại khái
大使馆	/dàshǐguǎn/	Đại sứ quán
大约	/dàyuē/	Khoảng chừng
大夫	/dàifu/	Bác sĩ
代	/dài/	Thay, thay thế
代表	/dàibiǎo/	Đại diện
代表团	/dàibiǎotuán/	Đoàn đại biểu
带动	/dàidòng/	Thúc đẩy, dẫn dắt
带领	/dàilǐng/	Dẫn dắt, lãnh đạo
单元	/dānyuán/	Đơn vị, bài học
当初	/dāngchū/	Lúc đầu, ban đầu
当地	/dāngdì/	Địa phương
当然	/dāngrán/	Đương nhiên
当中	/dāngzhōng/	Ở giữa
刀	/dāo/	Con dao
导演	/dǎoyǎn/	Đạo diễn
到达	/dàodá/	Đến nơi
到底	/dàodǐ/	Rốt cuộc, cuối cùng
得分	/défēn/	Ghi điểm
等待	/děngdài/	Đợi, chờ đợi
底下	/dǐxia/	Phía dưới
地区	/dìqū/	Khu vực, vùng
电视剧	/diànshìjù/	Phim truyền hình
电视台	/diànshìtái/	Đài truyền hình
电台	/diàntái/	Đài phát thanh
电子邮件	/diànzǐ yóujiàn/	Thư điện tử
调	/diào/	Điều chỉnh, đổi
调查	/diàochá/	Điều tra, khảo sát
订	/dìng/	Đặt (mua, vé)
定期	/dìngqī/	Định kỳ
东部	/dōngbù/	Miền đông
动力	/dònglì/	Động lực
动人	/dòngrén/	Cảm động
读者	/dúzhě/	Độc giả
短处	/duǎnchù/	Điểm yếu
短裤	/duǎnkù/	Quần short
短期	/duǎnqī/	Ngắn hạn
断	/duàn/	Đứt, ngắt
队员	/duìyuán/	Thành viên trong đội
对待	/duìdài/	Đối xử
对方	/duìfāng/	Đối phương
对手	/duìshǒu/	Đối thủ
对象	/duìxiàng/	Đối tượng
顿	/dùn/	Bữa; phần
发表	/fābiǎo/	Bày tỏ, đưa ra, phát biểu
发出	/fāchū/	Phát ra (âm thanh)|xuất phát; khởi hành
发达	/fādá/	Phát triển
发动	/fādòng/	Khởi động; bắt đầu
发明	/fāmíng/	Phát minh
发生	/fāshēng/	Xảy ra; phát sinh
发送	/fāsòng/	Gửi
发言	/fāyán/	Phát biểu
发展	/fāzhǎn/	Phát triển
反对	/fǎnduì/	Phản đối; không đồng tình
反复	/fǎnfù/	Lặp đi lặp lại nhiều lần
反应	/fǎnyìng/	Phản ứng
反正	/fǎnzhèng/	Dù sao thì; đằng nào thì
范围	/fànwéi/	Phạm vi
方式	/fāngshì/	Cách thức; phương thức
防	/fáng/	Bảo vệ; phòng ngừa
防止	/fángzhǐ/	Phòng ngừa; đề phòng
房东	/fángdōng/	Chủ nhà
房屋	/fángwū/	Nhà
房租	/fángzū/	Nhà thuê
访问	/fǎngwèn/	Thăm; thăm hỏi; đến thăm
放到	/fàngdào/	Đặt ở; để ở
飞行	/fēixíng/	Bay lượn
费	/fèi/	Phí; lệ phí
费用	/fèiyòng/	Chi phí
分别	/fēnbié/	Chia tay; tạm biệt; xa nhau|phân biệt
分配	/fēnpèi/	Phân công; bố trí
分组	/fēnzǔ/	Phân nhóm; chia tổ
丰富	/fēngfù/	Phong phú
风险	/fēngxiǎn/	Rủi ro
否定	/fǒudìng/	Phủ nhận; phủ định
否认	/fǒurèn/	Bác bỏ; phủ nhận; chối cãi
服装	/fúzhuāng/	Trang phục; quần áo
福	/fú/	Phúc; lộc
父母	/fùmǔ/	Cha mẹ
父亲	/fùqīn/	Mẹ; mẫu thân
付	/fù/	Trả; chi trả
负责	/fùzé/	Chịu trách nhiệm
复印	/fùyìn/	Sao chép; photocopy
复杂	/fùzá/	Phức tạp
富	/fù/	Giàu có
改进	/gǎijìn/	Cải tiến
改造	/gǎizào/	Cải tạo; sửa sang
概念	/gàiniàn/	Khái niệm; ý niệm
赶	/gǎn/	Đuổi; kịp; gấp
赶到	/gǎndào/	Đến nơi
赶紧	/gǎnjǐn/	Mau; nhanh chóng
赶快	/gǎnkuài/	Nhanh lên
敢	/gǎn/	Dám
感冒	/gǎnmào/	Bị cảm; bị cúm
感情	/gǎnqíng/	Tình cảm
感受	/gǎnshòu/	Cảm nhận; cảm xúc
干吗	/gànmá/	Làm gì; sao vậy
高速	/gāosù/	Nhanh; nhanh chóng
高速公路	/gāosù gōnglù/	Đường cao tốc
