啊|/ā/|ah
爱情|/àiqíng/|love
爱心|/àixīn/|Love
安检|/ānjiǎn/|Security check
安排|/ānpái/|arrange
按|/àn/|according to
按时|/ànshí/|on time
按照|/ànzhào/|according to
白酒|/báijiǔ/|Liquor
办公|/bàngōng/|Office
办理|/bànlǐ/|Processing
办事|/bànshì/|work
棒|/bàng/|Great
保护|/bǎohù/|Protect
保证|/bǎozhèng/|ensure
抱|/bào/|hug
报考|/bàokǎo/|Application
报名|/bàomíng/|Sign up
抱歉|/bàoqiàn/|Feel sorry
背|/bēi/|back
背包|/bēibāo/|Backpack
北部|/běibù/|North
倍|/bèi/|times
本科|/běnkē/|Undergraduate
本来|/běnlái/|originally
笨|/bèn/|fool
鼻子|/bízi/|nose
笔试|/bǐshì/|written examination
毕业|/bìyè/|graduate
毕业生|/bìyèshēng/|graduate
便于|/biànyú/|easy to
标准|/biāozhǔn/|standard
表|/biǎo/|surface
表格|/biǎogé/|sheet
表示|/biǎoshì/|express
表现|/biǎoxiàn/|Performance
表扬|/biǎoyáng/|praise
饼干|/bǐnggān/|biscuit
并|/bìng/|and
并且|/bìngqiě/|and
播放|/bōfàng/|Play
博士|/bóshì/|PhD
不必|/búbì/|No need
不便|/búbiàn/|inconvenient
不断|/búduàn/|Continuous
不够|/búgòu/|not enough
不过|/búguò/|but
不论|/búlùn/|whether
步|/bù/|step
部|/bù/|department
不得不|/bùdébù/|have to
部分|/bùfen/|part
不管|/bùguǎn/|in spite of
不光|/bùguāng/|not only
不仅|/bùjǐn/|not only
不满|/bùmǎn/|dissatisfied
部门|/bùmén/|department
不如|/bùrú/|Better
擦|/cā/|wipe
猜|/cāi/|Guess
材料|/cáiliào/|Material
参观|/cānguān/|visit
参赛|/cānsài/|Competition
餐厅|/cāntīng/|Dining room
操场|/cāochǎng/|playground
厕所|/cèsuǒ/|bathroom
查看|/chákàn/|Check
茶叶|/cháyè/|tea
查找|/cházhǎo/|Search
差点儿|/chàdiǎnr/|Almost
产生|/chǎnshēng/|produce
厂|/chǎng/|factory
场|/chǎng/|field
超过|/chāoguò/|Exceed
车速|/chēsù/|Speed
车位|/chēwèi/|parking space
城|/chéng/|city
乘|/chéng/|take
成功|/chénggōng/|success
乘客|/chéngkè/|passenger
诚实|/chéngshí/|honest
